"rental_id","customer_id","customer_name","active","store_id","phone","address","district","city","country"
1,130,"Charlotte Hunter",1,1,"935448624185","758 Junan Lane","Gois","guas Lindas de Gois","Brazil"
2,459,"Tommy Collazo",1,1,"762361821578","76 Kermanshah Manor","Esfahan","Qomsheh","Iran"
3,408,"Manuel Murrell",1,1,"359478883004","692 Amroha Drive","Northern","Jaffna","Sri Lanka"
4,333,"Andrew Purdy",1,2,"119501405123","431 Szkesfehrvr Avenue","Baki","Baku","Azerbaijan"
5,222,"Delores Hansen",1,2,"516331171356","810 Palghat (Palakkad) Boulevard","Jaroslavl","Jaroslavl","Russian Federation"
6,549,"Nelson Christenson",1,1,"84794532510","1764 Jalib al-Shuyukh Parkway","Galicia","Santiago de Compostela","Spain"
7,269,"Cassandra Walters",1,1,"685010736240","920 Kumbakonam Loop","California","Salinas","United States"
8,239,"Minnie Romero",1,2,"63937119031","47 Syktyvkar Lane","West Java","Ciomas","Indonesia"
9,126,"Ellen Simpson",1,1,"582835362905","1666 Qomsheh Drive","So Paulo","Po","Brazil"
10,399,"Danny Isom",1,1,"280578750435","734 Bchar Place","Punjab","Okara","Pakistan"
11,142,"April Burns",1,1,"581174211853","483 Ljubertsy Parkway","Scotland","Dundee","United Kingdom"
12,261,"Deanna Byrd",1,1,"265153400632","862 Xintai Lane","Cagayan Valley","Tuguegarao","Philippines"
13,334,"Raymond Mcwhorter",1,2,"834626715837","503 Sogamoso Loop","Sumqayit","Sumqayit","Azerbaijan"
14,446,"Theodore Culp",0,2,"39463554936","1704 Tambaram Manor","West Bengali","Uluberia","India"
15,319,"Ronald Weiner",1,2,"674805712553","1145 Vilnius Manor","Mxico","San Felipe del Progreso","Mexico"
16,316,"Steven Curley",1,1,"139378397418","651 Pathankot Loop","Maharashtra","Miraj","India"
17,575,"Isaac Oglesby",1,2,"14465669789","186 Skikda Lane","Morelos","Cuernavaca","Mexico"
18,19,"Ruth Martinez",1,1,"272572357893","1417 Lancaster Avenue","Northern Cape","Kimberley","South Africa"
19,456,"Ronnie Ricketts",1,2,"670370974122","1889 Valparai Way","Ziguinchor","Ziguinchor","Senegal"
20,185,"Roberta Harper",1,1,"951486492670","927 Barcelona Street","Chaharmahal va Bakht","Shahr-e Kord","Iran"
21,388,"Craig Morrell",1,2,"426255288071","717 Changzhou Lane","Southern Tagalog","Cavite","Philippines"
22,509,"Raul Fortier",1,1,"442673923363","1747 Rustenburg Place","Bihar","Chapra","India"
23,438,"Barry Lovelace",1,1,"689681677428","1836 Korla Parkway","Copperbelt","Kitwe","Zambia"
24,350,"Juan Fraley",1,1,"689199636560","469 Nakhon Sawan Street","Tuvassia","Teboksary","Russian Federation"
25,37,"Pamela Baker",1,1,"912257250465","1440 Fukuyama Loop","Henan","Nanyang","China"
26,371,"Billy Poulin",1,1,"333390595558","1061 Ede Avenue","Southern Tagalog","Cabuyao","Philippines"
27,301,"Robert Baughman",1,2,"96110042435","1883 Maikop Lane","Kaliningrad","Kaliningrad","Russian Federation"
28,232,"Constance Reid",1,2,"588964509072","885 Yingkou Manor","Kaduna","Zaria","Nigeria"
29,44,"Marie Turner",1,1,"177727722820","1998 Halifax Drive","Lipetsk","Lipetsk","Russian Federation"
30,430,"Ray Houle",1,1,"497288595103","740 Udaipur Lane","Nizni Novgorod","Dzerzinsk","Russian Federation"
31,369,"Fred Wheat",1,2,"561729882725","433 Florencia Street","Chihuahua","Jurez","Mexico"
32,230,"Joy George",1,2,"479007229460","1256 Bislig Boulevard","Botosani","Botosani","Romania"
33,272,"Kay Caldwell",1,1,"170739645687","85 San Felipe de Puerto Plata Drive","Shandong","Yantai","China"
34,597,"Freddie Duggan",1,1,"644021380889","1103 Quilmes Boulevard","Piura","Sullana","Peru"
35,484,"Roberto Vu",1,1,"508348602835","1297 Alvorada Parkway","Ningxia","Yinchuan","China"
36,88,"Bonnie Hughes",1,2,"978987363654","1942 Ciparay Parkway","Cheju","Cheju","South Korea"
37,535,"Javier Elrod",1,1,"8912935608","195 Ilorin Street","Chari-Baguirmi","NDjamna","Chad"
38,302,"Michael Silverman",1,1,"108053751300","1908 Gaziantep Place","Liaoning","Tiefa","China"
39,207,"Gertrude Castillo",1,1,"403404780639","850 Salala Loop","Kitaa","Nuuk","Greenland"
40,413,"Marvin Yee",1,2,"480039662421","126 Acua Parkway","West Bengali","Berhampore (Baharampur)","India"
41,174,"Yvonne Watkins",1,2,"48265851133","1848 Salala Boulevard","Miranda","Ocumare del Tuy","Venezuela"
42,523,"Harvey Guajardo",1,1,"638409958875","600 Purnea (Purnia) Avenue","Nghe An","Vinh","Vietnam"
43,532,"Neil Renner",1,2,"478380208348","1817 Livorno Way","Khanh Hoa","Cam Ranh","Vietnam"
44,207,"Gertrude Castillo",1,1,"403404780639","850 Salala Loop","Kitaa","Nuuk","Greenland"
45,436,"Troy Quigley",1,1,"145720452260","983 Santa F Way","British Colombia","Vancouver","Canada"
46,7,"Maria Miller",1,1,"716571220373","900 Santiago de Compostela Parkway","Central Serbia","Kragujevac","Yugoslavia"
47,35,"Virginia Green",1,2,"440512153169","391 Callao Drive","Midi-Pyrnes","Toulouse","France"
48,282,"Jenny Castro",1,2,"62781725285","1405 Chisinau Place","Ponce","Ponce","Puerto Rico"
49,498,"Gene Sanborn",1,1,"144206758053","1416 San Juan Bautista Tuxtepec Avenue","Zufar","Salala","Oman"
50,18,"Carol Garcia",1,2,"747791594069","320 Brest Avenue","Kaduna","Kaduna","Nigeria"
51,256,"Mabel Holland",1,2,"884536620568","51 Laredo Avenue","Sagaing","Monywa","Myanmar"
52,507,"Edgar Rhoads",1,2,"402630109080","1269 Ipoh Avenue","Eskisehir","Eskisehir","Turkey"
53,569,"Dave Gardiner",1,2,"128499386727","1052 Pathankot Avenue","Sichuan","Leshan","China"
54,291,"Toni Holt",1,1,"976798660411","1936 Cuman Avenue","Virginia","Roanoke","United States"
55,131,"Monica Hicks",1,2,"252265130067","1752 So Leopoldo Parkway","Taka-Karpatia","Mukateve","Ukraine"
56,511,"Chester Benner",1,1,"59634255214","1574 Goinia Boulevard","Heilongjiang","Suihua","China"
57,6,"Jennifer Davis",1,2,"860452626434","1795 Santiago de Compostela Way","Texas","Laredo","United States"
58,323,"Matthew Mahan",1,2,"869051782691","479 San Felipe del Progreso Avenue","Morelos","Cuautla","Mexico"
59,408,"Manuel Murrell",1,1,"359478883004","692 Amroha Drive","Northern","Jaffna","Sri Lanka"
60,470,"Gordon Allard",1,1,"562370137426","434 Ourense (Orense) Manor","Hodeida","Hodeida","Yemen"
61,250,"Jo Fowler",1,2,"716256596301","786 Stara Zagora Way","Oyo & Osun","Oyo","Nigeria"
62,419,"Chad Carbone",1,1,"987306329957","1948 Bayugan Parkway","Bihar","Katihar","India"
63,383,"Martin Bales",1,1,"106439158941","368 Hunuco Boulevard","Namibe","Namibe","Angola"
64,368,"Harry Arce",0,1,"320471479776","1922 Miraj Way","Esfahan","Najafabad","Iran"
65,346,"Arthur Simpkins",1,1,"262744791493","1157 Nyeri Loop","Adygea","Maikop","Russian Federation"
66,86,"Jacqueline Long",1,2,"135117278909","870 Ashqelon Loop","Songkhla","Songkhla","Thailand"
